tag	citation
deep_review	doi:10.1101/142760
lin	doi:10.1016/S0006-2952(99)00019-2
test	doi:10.1016/0304-3835(92)90277-3
biophysgit	url:https://github.com/biophyscode
biophyscode	url:https://biophyscode.github.io
overcrowding	doi:10.1016/S0040-4039(00)78887-3
improvement	url:http://www.cambridge.org/us/academic/subjects/life-sciences/pharmacology-and-drug-discovery/drug-design-structure-and-ligand-based-approaches?format=HB&isbn=9780521887236
